Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2021-50;2021;Long métrage;JULIA;Olivier TREINER;WY PRODUCTIONS;rue jean macé, 75011 paris;75011;2021-01-25;2021-01-25;2.38309042;48.85330223;"{""coordinates"": [2.3830904213946718, 48.85330223265877], ""type"": ""Point""}";48.85330223265877, 2.3830904213946718
2021-1618;2021;Série TV;I3P;Jérémy MINUI;Storia Télévision;31 boulevard auguste blanqui, 75013 paris;75013;2021-11-08;2021-11-09;2.3519398;48.82991995;"{""coordinates"": [2.351939801578821, 48.82991994909719], ""type"": ""Point""}";48.82991994909719, 2.351939801578821
2021-1640;2021;Série TV;DETOX;Marie Jardillier;CHAPKA TV;passage des petites ecuries, 75010 paris;75010;2021-11-09;2021-11-09;2.35211419;48.87288044;"{""coordinates"": [2.352114187613636, 48.872880437403005], ""type"": ""Point""}";48.872880437403005, 2.352114187613636
2021-1400;2021;Série TV;BRUSSELS;Stephen Hopkins;LEONIS - Brussels;55 rue du faubourg saint-honoré, 75008 paris;75008;2021-09-25;2021-09-26;2.31693053;48.87063015;"{""coordinates"": [2.316930528438159, 48.87063015076749], ""type"": ""Point""}";48.87063015076749, 2.316930528438159
2021-1405;2021;Long métrage;DISCO BOY;Giacomo Abbruzzese;LES FILMS GRAND HUIT;1 quai d'anjou, 75004 paris;75004;2021-10-01;2021-10-02;2.3600172;48.8509624;"{""coordinates"": [2.3600171975132156, 48.850962394862584], ""type"": ""Point""}";48.850962394862584, 2.3600171975132156
2021-59;2021;Long métrage;Être En Mouvement;Éric Gravel;Novoprod Cinéma EEM;quai de la rapée, 75012 paris;75012;2021-01-25;2021-01-25;2.36925881;48.84394443;"{""coordinates"": [2.3692588127288094, 48.843944430916665], ""type"": ""Point""}";48.843944430916665, 2.3692588127288094
2021-75;2021;Long métrage;Le Déchanché d'Elvis;Lauriane Escaffre, Yvonnick Muller;ADNP QUAD FILMS;pont de sully, 75005 paris;75005;2021-02-02;2021-02-02;2.35665686;48.84941791;"{""coordinates"": [2.356656863972283, 48.84941790584586], ""type"": ""Point""}";48.84941790584586, 2.356656863972283
2021-1662;2021;Long métrage;PASSAGES;IRA SACHS;SBS PRODUCTIONS;17 rue du sentier, 75002 paris;75002;2021-11-22;2021-11-22;2.34559602;48.86869924;"{""coordinates"": [2.3455960169369394, 48.86869923723155], ""type"": ""Point""}";48.86869923723155, 2.3455960169369394
2021-1666;2021;Long métrage;REVOIR PARIS;ALICE WINOCOUR;DHARAMSALA;2 place de la bastille, 75012 paris;75012;2021-11-15;2021-11-15;2.36976634;48.85241578;"{""coordinates"": [2.3697663375590787, 48.85241577790503], ""type"": ""Point""}";48.85241577790503, 2.3697663375590787
2021-1675;2021;Long métrage;Les 3 Mousquetaires - D'Artagnan/Milady;Martin Bourboulon;CHAPTER 2 - Les 3 Mousquetaires D'artagnan-Milady;7 place des vosges, 75004 paris;75004;2021-11-24;2021-11-24;2.36430947;48.85513174;"{""coordinates"": [2.3643094678020526, 48.85513174324369], ""type"": ""Point""}";48.85513174324369, 2.3643094678020526
2021-1683;2021;Long métrage;LES VOLETS VERTS;Jean BECKER;ARPROD;route du parc, 75012 paris;75012;2021-11-15;2021-11-15;2.42259532;48.82429211;"{""coordinates"": [2.4225953172343435, 48.82429211321208], ""type"": ""Point""}";48.82429211321208, 2.4225953172343435
2021-1685;2021;Long métrage;LES VOLETS VERTS;Jean BECKER;ARPROD;rue de sully, 75004 paris;75004;2021-11-15;2021-11-16;2.36438665;48.8498205;"{""coordinates"": [2.3643866465816985, 48.849820500243865], ""type"": ""Point""}";48.849820500243865, 2.3643866465816985
2021-1689;2021;Série TV;CUISINE INTERNE;LOUIS FARGE;CINÉTÉVÉ;82 rue desnouettes, 75015 paris;75015;2021-11-29;2021-11-29;2.28523147;48.83521123;"{""coordinates"": [2.2852314705066172, 48.83521122869809], ""type"": ""Point""}";48.83521122869809, 2.2852314705066172
2016-823;2016;Long métrage;SI J'ETAIS UN HOMME;AUDREY DANA;CURIOSA FILMS;RUE  DES ABBESSES;75018;2016-03-29;2016-03-29;2.337083;48.884826;"{""coordinates"": [2.33708299976368, 48.88482600043803], ""type"": ""Point""}";48.88482600043803, 2.33708299976368
2021-1700;2021;Long métrage;LES VOLETS VERTS;Jean BECKER;ARPROD;rue saint-dominique, 75007 paris;75007;2021-11-16;2021-11-16;2.30884511;48.85982771;"{""coordinates"": [2.3088451101374816, 48.85982770962538], ""type"": ""Point""}";48.85982770962538, 2.3088451101374816
2021-1452;2021;Long métrage;Julia;Olivier Treiner;WY productions;boulevard des italiens, 75002 paris;75002;2021-10-05;2021-10-06;2.33686133;48.87143339;"{""coordinates"": [2.3368613341478603, 48.871433392502475], ""type"": ""Point""}";48.871433392502475, 2.3368613341478603
2021-1467;2021;Long métrage;JOHN WICK 4;Chad STAHELSKI;LM 2021;rue foyatier, 75018 paris;75018;2021-10-13;2021-10-20;2.34243081;48.8852365;"{""coordinates"": [2.3424308059369863, 48.88523649853661], ""type"": ""Point""}";48.88523649853661, 2.3424308059369863
2021-1469;2021;Série TV;Marion;Jacques KLUGER;NOLITA TV;17 place du trocadéro et du onze novembre, 75116 paris;75116;2021-10-26;2021-10-26;2.28734322;48.86220721;"{""coordinates"": [2.287343221781725, 48.862207210774706], ""type"": ""Point""}";48.862207210774706, 2.287343221781725
2021-112;2021;Série TV;3x Noël;Nadège Loiseau;NEXT EPISODE;56 rue du capitaine ferber, 75020 paris;75020;2021-02-10;2021-02-11;2.40802584;48.86743295;"{""coordinates"": [2.408025843765295, 48.86743294569035], ""type"": ""Point""}";48.86743294569035, 2.408025843765295
2016-822;2016;Long métrage;CORPORATE;NICOLAS SILHOL;KAZAK PRODUCTIONS;45  RUE  CAUMARTIN;75009;2016-03-08;2016-03-08;2.328241;48.872974;"{""coordinates"": [2.328241000673459, 48.87297399993256], ""type"": ""Point""}";48.87297399993256, 2.328241000673459
2021-1720;2021;Long métrage;Nos Frangins;Rachid Bouchareb;3B Productions;10 rue des barres, 75004 paris;75004;2021-12-06;2021-12-06;2.35530269;48.85517026;"{""coordinates"": [2.3553026890252258, 48.8551702618514], ""type"": ""Point""}";48.8551702618514, 2.3553026890252258
2021-1490;2021;Long métrage;JOHN WICK 4;Chad STAHELSKI;LM 2021;place du trocadéro et du onze novembre, 75116 paris;75116;2021-10-25;2021-10-26;2.28693167;48.86341512;"{""coordinates"": [2.286931666089251, 48.86341511691407], ""type"": ""Point""}";48.86341511691407, 2.286931666089251
2021-1493;2021;Téléfilm;ILS S'AIMENT A TOUS LES ETAGES;Hervé BRAMI;CARSON PROD;24b boulevard de courcelles, 75017 paris;75017;2021-11-04;2021-11-04;2.31278287;48.88105032;"{""coordinates"": [2.312782866765729, 48.881050320062606], ""type"": ""Point""}";48.881050320062606, 2.312782866765729
